time,Time,Humudity,Temp
13:28.8,23:13:29,43,26
13:39.3,23:13:39,43,26
13:49.9,23:13:50,43,26
14:00.4,23:14:00,42,26
14:11.0,23:14:11,42,26
14:21.5,23:14:22,42,26
14:32.1,23:14:32,42,26
14:42.6,23:14:43,42,26
14:53.1,23:14:53,43,26
15:03.7,23:15:04,43,26
15:14.2,23:15:14,43,26
15:24.8,23:15:25,43,26
15:35.3,23:15:35,44,26
15:45.8,23:15:46,44,26
16:06.9,23:16:07,44,26
16:17.4,23:16:17,44,26
16:28.0,23:16:28,44,26
16:38.5,23:16:39,43,26
16:49.0,23:16:49,44,26
16:59.6,23:17:00,43,26
17:10.1,23:17:10,44,26
17:20.7,23:17:21,43,26
17:41.7,23:17:42,43,26
17:52.3,23:17:52,43,26
18:02.8,23:18:03,43,26
18:13.3,23:18:13,43,26
18:23.9,23:18:24,43,26
18:34.4,23:18:34,43,26
18:55.5,23:18:55,42,26
19:06.0,23:19:06,42,26
19:16.6,23:19:17,42,26
19:27.1,23:19:27,42,26
19:37.6,23:19:38,43,26
19:48.2,23:19:48,43,26
19:58.7,23:19:59,43,26
20:09.2,23:20:09,43,26
20:19.8,23:20:20,43,26
20:30.3,23:20:30,43,26
20:40.9,23:20:41,42,26
21:01.9,23:21:02,43,26
21:12.5,23:21:12,42,26
21:23.0,23:21:23,42,26
21:33.5,23:21:34,42,26
21:44.1,23:21:44,42,26
22:26.2,23:22:26,43,26
22:36.8,23:22:37,43,26
22:47.3,23:22:47,43,26
22:57.8,23:22:58,43,26
23:08.4,23:23:08,43,26
23:18.9,23:23:19,43,26
23:29.5,23:23:29,43,26
23:40.0,23:23:40,43,26
23:50.5,23:23:51,43,26
24:11.6,23:24:12,44,26
24:22.1,23:24:22,44,26
24:32.7,23:24:33,44,26
24:43.2,23:24:43,44,26
24:53.8,23:24:54,44,26
25:04.3,23:25:04,44,26
25:14.8,23:25:15,45,26
25:25.4,23:25:25,45,26
25:35.9,23:25:36,45,26
25:57.0,23:25:57,44,26
26:07.5,23:26:08,44,26
26:28.6,23:26:29,44,26
26:39.1,23:26:39,44,26
26:49.7,23:26:50,44,26
27:00.2,23:27:00,44,26
27:10.7,23:27:11,44,26
27:31.8,23:27:32,44,26
27:42.4,23:27:42,44,26
27:52.9,23:27:53,44,26
28:03.4,23:28:03,45,26
28:14.0,23:28:14,45,26
28:24.5,23:28:25,45,26
28:35.1,23:28:35,45,26
28:45.6,23:28:46,45,26
28:56.1,23:28:56,45,26
29:06.7,23:29:07,45,26
29:17.2,23:29:17,45,26
29:27.8,23:29:28,45,26
29:38.3,23:29:38,44,26
29:48.8,23:29:49,44,26
29:59.4,23:29:59,44,26
30:09.9,23:30:10,44,26
30:20.5,23:30:20,44,26
30:31.0,23:30:31,44,26
31:02.6,23:31:03,43,26
31:13.1,23:31:13,43,26
31:23.7,23:31:24,43,26
31:34.2,23:31:34,43,26
31:44.8,23:31:45,43,26
31:55.3,23:31:55,43,26
32:05.8,23:32:06,43,26
32:16.4,23:32:16,43,26
32:26.9,23:32:27,43,26
32:37.5,23:32:37,43,26
32:48.0,23:32:48,43,26
32:58.5,23:32:59,43,26
33:09.1,23:33:09,43,26
33:19.6,23:33:20,43,26
34:01.7,23:34:02,44,26
34:12.3,23:34:12,44,26
34:22.8,23:34:23,44,26
34:43.9,23:34:44,44,25
34:54.4,23:34:54,44,26
35:05.0,23:35:05,44,26
35:15.5,23:35:16,44,25
35:26.0,23:35:26,44,26
35:36.6,23:35:37,44,25
35:47.1,23:35:47,44,26
36:08.2,23:36:08,44,26
36:18.7,23:36:19,43,25
36:39.8,23:36:40,43,26
36:50.3,23:36:50,43,26
37:00.9,23:37:01,44,26
37:11.4,23:37:11,44,26
37:22.0,23:37:22,43,26
37:32.5,23:37:32,43,26
37:43.0,23:37:43,43,26
37:53.6,23:37:54,43,26
38:04.1,23:38:04,43,26
38:14.6,23:38:15,43,26
38:25.2,23:38:25,43,26
38:35.7,23:38:36,43,26
38:46.3,23:38:46,43,26
38:56.8,23:38:57,43,26
39:17.9,23:39:18,43,26
39:28.4,23:39:28,43,26
39:39.0,23:39:39,43,26
39:49.5,23:39:50,43,26
40:00.0,23:40:00,43,26
40:10.6,23:40:11,43,26
40:21.1,23:40:21,43,26
40:31.7,23:40:32,43,26
40:42.2,23:40:42,43,26
40:52.7,23:40:53,43,26
41:03.3,23:41:03,43,26
41:13.8,23:41:14,43,26
41:24.4,23:41:24,43,26
41:34.9,23:41:35,43,26
41:45.4,23:41:45,43,26
42:06.5,23:42:07,43,26
42:17.1,23:42:17,43,26
42:27.6,23:42:28,43,26
42:38.1,23:42:38,43,26
42:48.7,23:42:49,43,26
42:59.2,23:42:59,43,26
43:09.7,23:43:10,43,25
43:30.8,23:43:31,43,26
43:41.4,23:43:41,43,26
43:51.9,23:43:52,42,26
44:02.4,23:44:02,42,26
44:13.0,23:44:13,42,26
44:23.5,23:44:24,42,26
44:34.0,23:44:34,42,26
44:44.6,23:44:45,42,26
44:55.1,23:44:55,42,26
45:05.7,23:45:06,42,26
45:16.2,23:45:16,42,26
45:26.8,23:45:27,42,26
45:37.3,23:45:37,42,26
45:47.8,23:45:48,42,26
45:58.4,23:45:58,42,26
46:08.9,23:46:09,42,26
46:19.4,23:46:19,42,26
46:30.0,23:46:30,42,26
46:40.5,23:46:41,43,26
46:51.1,23:46:51,43,26
47:01.6,23:47:02,43,26
47:12.1,23:47:12,43,26
47:22.7,23:47:23,43,26
47:33.2,23:47:33,43,26
47:43.8,23:47:44,43,26
47:54.3,23:47:54,43,26
48:04.8,23:48:05,42,26
48:15.4,23:48:15,42,26
48:25.9,23:48:26,42,26
48:36.5,23:48:36,42,26
48:47.0,23:48:47,42,26
48:57.5,23:48:58,42,26
49:08.1,23:49:08,42,26
49:18.6,23:49:19,42,25
49:29.2,23:49:29,42,25
49:39.7,23:49:40,42,26
49:50.2,23:49:50,42,25
50:21.9,23:50:22,42,25
50:32.4,23:50:32,43,25
50:42.9,23:50:43,42,25
50:53.5,23:50:53,42,25
51:04.0,23:51:04,43,25
51:14.5,23:51:15,43,25
51:25.1,23:51:25,42,25
51:35.6,23:51:36,43,25
51:46.2,23:51:46,43,25
51:56.7,23:51:57,43,25
52:07.2,23:52:07,43,25
52:17.8,23:52:18,43,25
52:28.3,23:52:28,43,25
52:49.4,23:52:49,43,25
52:59.9,23:53:00,43,26
53:10.5,23:53:10,43,26
53:31.6,23:53:32,43,25
53:42.1,23:53:42,43,26
53:52.6,23:53:53,42,26
54:03.2,23:54:03,42,26
54:24.3,23:54:24,42,26
54:34.8,23:54:35,42,25
54:55.9,23:54:56,42,25
55:06.4,23:55:06,42,26
55:16.9,23:55:17,42,25
55:27.5,23:55:27,42,25
55:48.6,23:55:49,42,25
55:59.1,23:55:59,42,25
56:09.6,23:56:10,42,25
56:30.7,23:56:31,42,25
56:41.2,23:56:41,42,25
56:51.8,23:56:52,42,25
57:12.9,23:57:13,42,25
57:23.4,23:57:23,42,25
57:33.9,23:57:34,42,25
57:44.5,23:57:44,42,25
57:55.0,23:57:55,42,25
58:16.1,23:58:16,42,25
58:26.6,23:58:27,42,25
58:37.2,23:58:37,42,25
58:47.7,23:58:48,42,25
58:58.2,23:58:58,42,25
59:08.8,23:59:09,42,25
59:19.3,23:59:19,42,25
59:29.9,23:59:30,42,25
59:40.4,23:59:40,42,25
59:50.9,23:59:51,42,25
00:01.5,0:00:01,43,25
00:12.0,0:00:12,43,25
00:22.6,0:00:23,43,25
00:43.6,0:00:44,43,25
00:54.2,0:00:54,43,25
01:04.7,0:01:05,43,25
01:15.2,0:01:15,43,25
01:25.8,0:01:26,43,25
01:36.3,0:01:36,43,25
01:46.9,0:01:47,43,25
01:57.4,0:01:57,42,25
02:07.9,0:02:08,42,25
02:18.5,0:02:18,42,25
02:29.0,0:02:29,42,25
02:39.6,0:02:40,42,25
03:00.6,0:03:01,42,25
03:11.2,0:03:11,42,25
03:21.7,0:03:22,42,25
03:32.2,0:03:32,42,25
03:42.8,0:03:43,42,25
03:53.3,0:03:53,42,25
04:03.9,0:04:04,42,25
04:14.4,0:04:14,42,25
04:24.9,0:04:25,42,25
04:35.5,0:04:35,42,25
04:56.6,0:04:57,42,25
05:07.1,0:05:07,42,25
05:17.6,0:05:18,42,25
05:28.2,0:05:28,42,25
05:38.7,0:05:39,42,25
05:49.3,0:05:49,42,25
05:59.8,0:06:00,42,25
06:10.3,0:06:10,42,25
06:20.9,0:06:21,42,25
06:31.4,0:06:31,42,25
06:42.0,0:06:42,42,25
06:52.5,0:06:52,42,25
07:03.0,0:07:03,42,25
07:13.6,0:07:14,42,25
07:24.1,0:07:24,42,25
07:34.7,0:07:35,42,25
07:45.2,0:07:45,42,25
07:55.7,0:07:56,42,25
08:06.3,0:08:06,42,25
08:16.8,0:08:17,42,25
08:27.4,0:08:27,42,25
08:37.9,0:08:38,42,25
08:48.4,0:08:48,42,25
08:59.0,0:08:59,42,25
09:09.5,0:09:10,42,25
09:20.0,0:09:20,42,25
09:30.6,0:09:31,42,25
09:41.1,0:09:41,42,25
09:51.7,0:09:52,42,25
10:02.2,0:10:02,42,25
10:12.7,0:10:13,42,25
10:23.3,0:10:23,42,25
10:33.8,0:10:34,42,25
10:44.4,0:10:44,42,25
10:54.9,0:10:55,42,25
11:05.4,0:11:05,42,25
11:16.0,0:11:16,42,25
11:47.6,0:11:48,42,25
11:58.1,0:11:58,42,25
12:08.7,0:12:09,42,25
12:19.2,0:12:19,42,25
12:29.7,0:12:30,42,25
12:40.3,0:12:40,42,25
13:01.4,0:13:01,42,25
13:11.9,0:13:12,42,25
13:22.4,0:13:22,42,25
13:43.5,0:13:44,42,25
13:54.1,0:13:54,42,25
14:04.6,0:14:05,42,25
14:15.1,0:14:15,42,25
14:36.2,0:14:36,42,25
14:57.3,0:14:57,42,25
15:07.8,0:15:08,42,25
15:18.4,0:15:18,42,25
15:28.9,0:15:29,42,25
15:39.4,0:15:39,42,25
15:50.0,0:15:50,42,25
16:00.5,0:16:01,42,25
16:11.1,0:16:11,42,25
16:32.1,0:16:32,42,25
16:42.7,0:16:43,42,25
17:14.3,0:17:14,42,25
17:24.8,0:17:25,42,25
17:35.4,0:17:35,42,25
17:45.9,0:17:46,42,25
17:56.4,0:17:56,43,25
18:07.0,0:18:07,43,25
18:17.5,0:18:18,43,25
18:28.0,0:18:28,43,25
18:38.6,0:18:39,43,25
18:49.1,0:18:49,43,25
18:59.7,0:19:00,43,25
19:10.2,0:19:10,43,25
19:20.7,0:19:21,43,25
19:31.3,0:19:31,43,25
19:41.8,0:19:42,43,25
19:52.4,0:19:52,43,25
20:02.9,0:20:03,43,25
20:24.0,0:20:24,43,25
20:34.5,0:20:35,43,25
20:45.0,0:20:45,43,25
20:55.6,0:20:56,43,25
21:06.1,0:21:06,43,25
21:16.7,0:21:17,43,25
21:27.2,0:21:27,43,25
21:37.7,0:21:38,43,25
21:48.3,0:21:48,43,25
21:58.8,0:21:59,43,25
22:09.4,0:22:09,43,25
22:19.9,0:22:20,43,25
22:41.0,0:22:41,43,25
22:51.5,0:22:52,43,25
23:23.1,0:23:23,43,25
23:33.7,0:23:34,43,25
23:44.2,0:23:44,43,25
23:54.7,0:23:55,43,25
24:05.3,0:24:05,44,25
24:15.8,0:24:16,44,25
24:26.4,0:24:26,44,25
24:36.9,0:24:37,44,25
24:47.4,0:24:47,44,25
24:58.0,0:24:58,44,25
25:08.5,0:25:09,44,25
25:29.6,0:25:30,44,25
25:40.1,0:25:40,44,25
25:50.7,0:25:51,44,25
26:01.2,0:26:01,44,25
26:11.7,0:26:12,44,25
26:22.3,0:26:22,44,25
26:32.8,0:26:33,44,25
26:43.3,0:26:43,44,25
26:53.9,0:26:54,44,25
27:04.4,0:27:04,44,25
27:15.0,0:27:15,44,25
27:25.5,0:27:26,44,25
27:36.0,0:27:36,44,25
27:46.6,0:27:47,44,25
27:57.1,0:27:57,44,25
28:07.6,0:28:08,44,25
28:18.2,0:28:18,44,25
28:28.7,0:28:29,44,25
28:39.3,0:28:39,44,25
28:49.8,0:28:50,44,25
29:10.9,0:29:11,44,25
29:32.0,0:29:32,44,25
29:42.5,0:29:43,44,25
29:53.0,0:29:53,44,25
30:03.6,0:30:04,44,25
30:14.1,0:30:14,44,25
30:24.7,0:30:25,44,25
30:35.2,0:30:35,44,25
30:45.7,0:30:46,44,25
30:56.3,0:30:56,44,25
31:06.8,0:31:07,44,25
31:17.4,0:31:17,44,25
31:27.9,0:31:28,45,25
31:38.4,0:31:38,45,25
31:49.0,0:31:49,45,25
31:59.5,0:32:00,44,25
32:10.1,0:32:10,44,25
32:20.6,0:32:21,44,25
33:02.7,0:33:03,45,25
33:13.3,0:33:13,45,25
33:23.8,0:33:24,45,25
33:34.4,0:33:34,45,25
33:44.9,0:33:45,45,25
33:55.4,0:33:55,45,25
34:16.5,0:34:17,45,25
34:27.1,0:34:27,45,25
34:37.6,0:34:38,45,25
34:48.1,0:34:48,45,25
34:58.7,0:34:59,45,25
35:09.2,0:35:09,45,25
35:19.8,0:35:20,46,25
35:30.3,0:35:30,46,25
35:40.8,0:35:41,46,25
35:51.4,0:35:51,46,25
36:01.9,0:36:02,46,25
36:12.4,0:36:12,46,25
36:44.0,0:36:44,46,25
36:54.6,0:36:55,46,25
37:05.1,0:37:05,46,25
37:15.7,0:37:16,46,25
37:26.2,0:37:26,46,25
37:36.8,0:37:37,46,25
37:47.3,0:37:47,46,25
37:57.8,0:37:58,46,25
38:08.4,0:38:08,46,25
38:29.4,0:38:29,46,25
38:40.0,0:38:40,46,25
38:50.5,0:38:51,46,25
39:01.1,0:39:01,47,25
39:11.6,0:39:12,47,25
39:22.2,0:39:22,46,25
39:32.7,0:39:33,46,25
39:43.2,0:39:43,46,25
39:53.8,0:39:54,47,25
40:04.3,0:40:04,46,25
40:14.9,0:40:15,47,25
40:25.4,0:40:25,47,25
40:35.9,0:40:36,47,25
40:46.5,0:40:46,47,25
40:57.0,0:40:57,47,25
41:07.6,0:41:08,47,25
41:18.1,0:41:18,47,25
41:28.6,0:41:29,47,25
41:39.2,0:41:39,47,25
41:49.7,0:41:50,47,25
42:00.2,0:42:00,47,25
42:10.8,0:42:11,47,25
42:21.3,0:42:21,47,25
42:31.9,0:42:32,47,25
42:42.4,0:42:42,47,25
42:52.9,0:42:53,47,25
43:03.5,0:43:03,47,25
43:14.0,0:43:14,47,25
43:24.5,0:43:25,47,25
43:35.1,0:43:35,47,25
43:45.6,0:43:46,47,25
43:56.2,0:43:56,47,25
44:06.7,0:44:07,47,25
44:17.2,0:44:17,47,25
44:27.8,0:44:28,47,25
44:38.3,0:44:38,47,25
44:48.8,0:44:49,47,25
44:59.4,0:44:59,47,25
45:09.9,0:45:10,47,25
45:20.5,0:45:20,47,25
45:31.0,0:45:31,47,25
45:41.5,0:45:42,47,25
45:52.1,0:45:52,47,25
46:23.7,0:46:24,47,25
46:34.2,0:46:34,47,25
46:44.8,0:46:45,47,25
46:55.3,0:46:55,47,25
47:05.9,0:47:06,47,25
47:16.4,0:47:16,47,25
47:26.9,0:47:27,47,25
47:37.5,0:47:37,47,25
47:48.0,0:47:48,47,25
48:09.1,0:48:09,47,25
48:19.6,0:48:20,47,25
48:30.2,0:48:30,47,25
48:40.7,0:48:41,47,25
48:51.3,0:48:51,47,25
49:01.8,0:49:02,47,25
49:12.3,0:49:12,47,25
49:22.9,0:49:23,47,25
49:33.4,0:49:33,47,25
49:44.0,0:49:44,47,25
49:54.5,0:49:54,47,25
50:15.6,0:50:16,47,25
50:26.1,0:50:26,47,25
50:36.6,0:50:37,47,25
50:47.2,0:50:47,47,25
50:57.7,0:50:58,47,25
51:08.3,0:51:08,47,25
51:18.8,0:51:19,47,25
51:29.3,0:51:29,48,25
51:39.9,0:51:40,48,25
51:50.4,0:51:50,48,25
52:00.9,0:52:01,48,25
52:11.5,0:52:11,48,25
52:22.0,0:52:22,48,25
52:32.6,0:52:33,48,25
52:43.1,0:52:43,48,25
52:53.6,0:52:54,48,25
53:04.2,0:53:04,48,25
53:14.7,0:53:15,48,25
53:25.2,0:53:25,48,25
53:35.8,0:53:36,48,25
53:46.3,0:53:46,48,25
53:56.9,0:53:57,48,25
54:17.9,0:54:18,48,25
54:39.0,0:54:39,48,25
55:00.1,0:55:00,48,25
55:10.6,0:55:11,48,25
55:21.2,0:55:21,48,25
55:31.7,0:55:32,48,25
55:42.2,0:55:42,48,25
55:52.8,0:55:53,48,24
56:03.3,0:56:03,48,25
56:13.8,0:56:14,48,25
56:24.4,0:56:24,48,24
56:34.9,0:56:35,48,25
56:45.5,0:56:45,48,25
56:56.0,0:56:56,48,25
57:06.5,0:57:07,48,25
57:17.1,0:57:17,48,25
57:27.6,0:57:28,48,25
57:48.7,0:57:49,49,25
57:59.2,0:57:59,49,25
58:09.8,0:58:10,49,25
58:20.3,0:58:20,49,24
58:30.9,0:58:31,49,25
58:41.4,0:58:41,49,25
58:51.9,0:58:52,49,25
59:02.5,0:59:02,49,25
59:13.0,0:59:13,49,24
59:23.6,0:59:24,49,24
59:34.1,0:59:34,49,24
59:44.7,0:59:45,49,25
59:55.2,0:59:55,49,25
00:05.7,1:00:06,49,24
00:16.3,1:00:16,48,25
00:26.8,1:00:27,48,25
00:37.3,1:00:37,48,24
00:58.4,1:00:58,48,25
01:09.0,1:01:09,48,25
01:19.5,1:01:19,48,25
01:30.0,1:01:30,48,25
01:40.6,1:01:41,48,25
01:51.1,1:01:51,48,25
02:01.6,1:02:02,48,24
02:12.2,1:02:12,48,25
02:22.7,1:02:23,48,25
02:33.3,1:02:33,48,24
02:43.8,1:02:44,48,24
02:54.3,1:02:54,48,24
03:04.9,1:03:05,48,24
03:15.4,1:03:15,48,24
03:26.0,1:03:26,48,24
03:36.5,1:03:36,48,24
03:47.0,1:03:47,48,24
03:57.6,1:03:58,48,24
04:08.1,1:04:08,48,24
04:29.2,1:04:29,48,24
04:39.7,1:04:40,48,24
04:50.3,1:04:50,48,24
05:00.8,1:05:01,48,24
05:11.3,1:05:11,49,24
05:21.9,1:05:22,49,24
05:32.4,1:05:32,49,24
05:43.0,1:05:43,49,24
05:53.5,1:05:54,49,24
06:04.0,1:06:04,49,24
06:14.6,1:06:15,49,24
06:25.1,1:06:25,49,24
07:07.3,1:07:07,49,24
07:17.8,1:07:18,48,24
07:28.3,1:07:28,49,24
07:38.9,1:07:39,49,24
07:49.4,1:07:49,49,24
08:00.0,1:08:00,49,24
08:10.5,1:08:11,49,24
08:21.0,1:08:21,49,24
08:31.6,1:08:32,49,24
08:42.1,1:08:42,49,24
08:52.7,1:08:53,49,24
09:03.2,1:09:03,49,24
09:13.7,1:09:14,49,24
09:24.3,1:09:24,50,24
09:34.8,1:09:35,50,24
09:45.4,1:09:45,49,24
09:55.9,1:09:56,49,24
10:06.4,1:10:06,49,24
10:17.0,1:10:17,49,24
10:27.5,1:10:28,49,24
10:38.1,1:10:38,49,24
10:48.6,1:10:49,49,24
11:09.7,1:11:10,49,24
11:20.2,1:11:20,49,24
11:30.7,1:11:31,49,24
11:51.8,1:11:52,49,24
12:02.4,1:12:02,49,24
12:12.9,1:12:13,49,24
12:23.4,1:12:23,49,24
12:34.0,1:12:34,50,24
12:55.1,1:12:55,50,24
13:16.1,1:13:16,50,24
13:26.7,1:13:27,50,24
13:37.2,1:13:37,50,24
13:47.8,1:13:48,50,24
13:58.3,1:13:58,50,24
14:08.8,1:14:09,50,24
14:19.4,1:14:19,50,24
14:29.9,1:14:30,50,24
14:40.5,1:14:40,50,24
14:51.0,1:14:51,50,24
15:01.5,1:15:02,50,24
15:12.1,1:15:12,50,24
15:43.7,1:15:44,50,24
16:04.8,1:16:05,50,24
16:25.8,1:16:26,50,24
16:36.4,1:16:36,50,24
16:46.9,1:16:47,50,24
16:57.4,1:16:57,50,24
17:08.0,1:17:08,50,24
17:18.5,1:17:19,50,24
17:29.1,1:17:29,50,24
17:39.6,1:17:40,50,24
17:50.1,1:17:50,50,24
18:00.7,1:18:01,50,24
18:11.2,1:18:11,50,24
18:32.3,1:18:32,50,24
18:42.8,1:18:43,50,24
18:53.4,1:18:53,50,24
19:03.9,1:19:04,50,24
19:14.4,1:19:14,50,24
19:25.0,1:19:25,50,24
19:35.5,1:19:36,50,24
19:46.0,1:19:46,50,24
19:56.6,1:19:57,50,24
20:07.1,1:20:07,50,24
20:17.7,1:20:18,50,24
20:28.2,1:20:28,50,24
20:38.7,1:20:39,50,24
20:49.3,1:20:49,50,24
20:59.8,1:21:00,50,24
21:20.9,1:21:21,50,24
21:31.4,1:21:31,49,24
21:42.0,1:21:42,49,24
21:52.5,1:21:52,49,24
22:03.0,1:22:03,49,24
22:13.6,1:22:14,49,24
22:24.1,1:22:24,49,24
22:34.7,1:22:35,49,24
22:45.2,1:22:45,49,24
22:55.7,1:22:56,49,24
23:06.3,1:23:06,49,24
23:16.8,1:23:17,49,24
23:27.4,1:23:27,49,24
23:37.9,1:23:38,49,24
23:48.4,1:23:48,49,24
23:59.0,1:23:59,49,24
24:09.5,1:24:10,49,24
24:20.0,1:24:20,49,24
24:30.6,1:24:31,49,24
24:41.1,1:24:41,49,24
24:51.7,1:24:52,49,24
25:02.2,1:25:02,49,24
25:12.8,1:25:13,49,24
25:23.3,1:25:23,49,24
25:33.8,1:25:34,49,24
25:44.4,1:25:44,49,24
25:54.9,1:25:55,49,24
26:16.0,1:26:16,49,24
26:26.5,1:26:27,49,24
26:37.0,1:26:37,49,24
26:47.6,1:26:48,48,24
26:58.1,1:26:58,48,24
27:08.7,1:27:09,48,24
27:29.7,1:27:30,48,24
27:40.3,1:27:40,48,24
